                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.75049,                 2.2199,                 1.2197,                 1.2254,                0.74751,                0.60778,                0.71114,                0.58624,                0.81135,                0.52758,                0.58942,                0.34435,                0.83762,                 3.1772,                 1.8032,                 1.4416,             4.6965e-05,             4.6965e-05,             4.6965e-05
                     53,                0.74778,                 2.1951,                 1.1877,                 1.2351,                0.66058,                0.68624,                0.72192,                0.58581,                0.64993,                0.52779,                0.57397,                0.33885,                0.82895,                  3.116,                 1.7812,                 1.4381,             4.6044e-05,             4.6044e-05,             4.6044e-05
                     54,                0.73171,                 2.2136,                 1.2027,                 1.2352,                0.68322,                0.67926,                0.71932,                0.59063,                0.68247,                0.49954,                0.55077,                0.33413,                0.85329,                  3.012,                 1.8244,                 1.4662,             4.5124e-05,             4.5124e-05,             4.5124e-05
                     55,                0.73522,                 2.1997,                 1.2267,                 1.2305,                0.68077,                0.66479,                0.71591,                0.58277,                0.56042,                0.56905,                0.55198,                0.33277,                0.87525,                 3.0023,                 1.8888,                 1.4728,             4.4203e-05,             4.4203e-05,             4.4203e-05
                     56,                0.73301,                 2.2169,                 1.1819,                 1.2161,                0.63087,                0.69323,                 0.7008,                0.57582,                0.55483,                0.53719,                0.55568,                0.33975,                0.85795,                  2.973,                 1.8587,                 1.4349,             4.3282e-05,             4.3282e-05,             4.3282e-05
                     57,                0.74841,                 2.2214,                 1.1965,                 1.2316,                0.69185,                 0.6143,                0.70767,                0.59302,                0.64631,                0.53991,                0.56265,                0.33269,                 0.8457,                 2.9928,                 1.8447,                 1.4349,             4.2361e-05,             4.2361e-05,             4.2361e-05
                     58,                0.73211,                 2.2259,                 1.1817,                 1.2141,                0.66409,                0.68699,                0.70685,                0.58999,                0.56889,                  0.577,                0.55506,                0.33583,                0.83386,                 3.0903,                  1.831,                 1.4107,             4.1441e-05,             4.1441e-05,             4.1441e-05
                     59,                0.72404,                 2.1735,                 1.1718,                 1.2196,                0.70136,                0.72242,                 0.7187,                 0.6017,                0.54652,                0.60541,                0.56696,                0.34511,                0.81086,                 3.3171,                 1.8774,                 1.3964,              4.052e-05,              4.052e-05,              4.052e-05
                     60,                  0.734,                 2.1963,                 1.1688,                 1.2172,                0.63728,                0.68715,                0.70182,                0.59304,                0.75438,                0.53335,                0.56767,                 0.3381,                0.80521,                 3.0576,                 1.8267,                 1.3869,             3.9599e-05,             3.9599e-05,             3.9599e-05
                     61,                0.71013,                 2.1248,                 1.1515,                 1.2031,                 0.6634,                0.69064,                0.71352,                0.59495,                0.53063,                0.58681,                0.55905,                0.33036,                0.80039,                 3.0997,                 1.8097,                 1.3996,             3.8679e-05,             3.8679e-05,             3.8679e-05
                     62,                0.72428,                 2.1549,                 1.1463,                 1.2195,                0.67187,                0.66872,                0.71634,                0.59126,                0.54463,                0.57204,                0.55757,                0.32195,                0.81982,                 3.1325,                 1.8324,                 1.4312,             3.7758e-05,             3.7758e-05,             3.7758e-05
                     63,                0.72305,                 2.1907,                 1.1426,                 1.2178,                0.65093,                0.67839,                0.71199,                0.59777,                0.56812,                 0.5583,                0.56116,                0.33362,                0.84334,                 3.0942,                 1.8391,                 1.4494,             3.6837e-05,             3.6837e-05,             3.6837e-05
                     64,                0.72285,                 2.2151,                 1.1592,                 1.2263,                0.63335,                0.67789,                0.69684,                0.58928,                0.51418,                0.56019,                0.55208,                0.32513,                0.83707,                  3.035,                 1.8239,                 1.4346,             3.5917e-05,             3.5917e-05,             3.5917e-05
                     65,                0.71396,                 2.1899,                 1.1146,                 1.2133,                0.77123,                0.62549,                0.69756,                0.58138,                0.62204,                0.56435,                0.56464,                0.32546,                0.84982,                 3.1709,                 1.8391,                 1.4587,             3.4996e-05,             3.4996e-05,             3.4996e-05
                     66,                0.71932,                 2.1252,                 1.1588,                 1.2219,                0.73068,                0.64496,                0.69974,                0.58172,                0.58749,                0.57648,                0.56255,                0.31646,                 0.8632,                 3.2245,                 1.8405,                 1.4722,             3.4075e-05,             3.4075e-05,             3.4075e-05
                     67,                0.73231,                 2.1546,                 1.1288,                 1.2277,                0.68552,                0.65502,                0.70735,                 0.5872,                0.56901,                0.58536,                0.57853,                0.32107,                0.84527,                 3.0329,                 1.7853,                  1.426,             3.3154e-05,             3.3154e-05,             3.3154e-05
                     68,                 0.7102,                 2.1761,                 1.1406,                 1.2172,                0.75017,                0.60543,                 0.6971,                 0.5834,                0.59918,                0.50261,                0.53713,                0.33008,                0.81827,                 2.9401,                 1.8045,                 1.3954,             3.2234e-05,             3.2234e-05,             3.2234e-05
                     69,                0.72841,                 2.1746,                 1.1423,                 1.2151,                0.76668,                0.60933,                0.70399,                0.58633,                0.79395,                0.54733,                0.58159,                 0.3435,                0.82521,                    3.1,                 1.8225,                 1.4216,             3.1313e-05,             3.1313e-05,             3.1313e-05
                     70,                 0.6973,                 2.1286,                 1.1142,                 1.1944,                0.73158,                0.60926,                0.70069,                0.59663,                0.49422,                0.60611,                0.57593,                0.32367,                0.84693,                 3.2535,                  1.825,                 1.4728,             3.0392e-05,             3.0392e-05,             3.0392e-05
                     71,                0.72582,                 2.2269,                 1.1174,                 1.2215,                0.57172,                0.70915,                0.70397,                0.59958,                0.84298,                0.46789,                0.54898,                 0.3289,                0.82642,                 3.1166,                 1.8021,                 1.4409,             2.9472e-05,             2.9472e-05,             2.9472e-05
                     72,                0.69389,                 2.1332,                 1.0977,                 1.1935,                0.60871,                0.69402,                0.70726,                0.60867,                0.57293,                0.54055,                0.57378,                0.34113,                0.81863,                 3.0657,                 1.7661,                 1.4174,             2.8551e-05,             2.8551e-05,             2.8551e-05
                     73,                0.69859,                 2.0954,                 1.1214,                    1.2,                0.63952,                   0.71,                0.69963,                0.59443,                0.53472,                0.60809,                0.56381,                0.32948,                0.80637,                 3.1598,                 1.7411,                 1.4081,              2.763e-05,              2.763e-05,              2.763e-05
                     74,                0.72678,                 2.1342,                 1.1056,                 1.2145,                0.63433,                0.71095,                0.70919,                0.59926,                0.85891,                0.49674,                0.57275,                0.33241,                0.79916,                  3.118,                 1.7495,                 1.4088,              2.671e-05,              2.671e-05,              2.671e-05
                     75,                0.69839,                 2.0554,                 1.0606,                 1.1969,                 0.6002,                0.70687,                0.71355,                0.59517,                0.84935,                0.48292,                0.57089,                0.32856,                0.80097,                 3.1061,                 1.7511,                 1.4034,             2.5789e-05,             2.5789e-05,             2.5789e-05
                     76,                0.70841,                   2.11,                 1.0784,                 1.1991,                0.63362,                0.69353,                0.70349,                0.58769,                0.52706,                0.58444,                0.56406,                0.33381,                0.80859,                 3.0859,                 1.7649,                 1.3961,             2.4868e-05,             2.4868e-05,             2.4868e-05
                     77,                0.72437,                 2.1798,                 1.0985,                 1.2082,                0.62635,                0.70002,                0.70734,                0.59026,                0.83164,                0.49615,                0.55331,                0.32461,                0.81448,                 3.0837,                 1.7558,                 1.3883,             2.3948e-05,             2.3948e-05,             2.3948e-05
                     78,                0.68185,                 2.0497,                 1.0653,                 1.1864,                0.65772,                0.68912,                0.70543,                0.58968,                 0.5555,                0.58193,                0.56473,                0.32866,                0.82045,                 3.0923,                 1.7642,                 1.4047,             2.3027e-05,             2.3027e-05,             2.3027e-05
                     79,                0.71512,                 2.1733,                 1.1312,                 1.2085,                0.64218,                0.66141,                 0.7058,                0.58532,                0.54551,                 0.5501,                0.55081,                0.33077,                 0.8202,                 3.0514,                  1.794,                 1.4145,             2.2106e-05,             2.2106e-05,             2.2106e-05
                     80,                0.69783,                 2.1321,                 1.1006,                 1.1899,                0.60144,                0.71852,                0.70179,                0.58826,                0.52813,                0.53421,                0.53964,                0.32386,                 0.8264,                 3.0509,                 1.7774,                 1.4057,             2.1185e-05,             2.1185e-05,             2.1185e-05
                     81,                0.69886,                 2.1686,                 1.0562,                  1.181,                0.59488,                0.70664,                 0.7054,                0.59421,                0.57436,                0.56513,                 0.5571,                0.32492,                 0.8109,                 3.1181,                 1.7838,                 1.3944,             2.0265e-05,             2.0265e-05,             2.0265e-05
                     82,                0.71073,                 2.1195,                 1.1204,                 1.2092,                0.62272,                0.72127,                 0.7203,                0.60585,                0.63599,                0.56098,                0.56459,                0.32963,                0.80266,                 3.1983,                 1.7996,                 1.4094,             1.9344e-05,             1.9344e-05,             1.9344e-05
